r0909	1,1,2-Trichloroethylene	toluene dioxygenase	Glyoxylate
r0910	1,1,2-Trichloroethylene	toluene dioxygenase	Formate
r0378	1,1,2-Trichloroethylene	toluene 2-monooxygenase	Trichloroethylene epoxide
r0932	1,1,2-Trichloroethylene	tetrachloroethene reductive dehalogenase	trans-1,2-Dichloroethene
r0911	1,1,2-Trichloroethylene	soluble methane monooxygenase	Chloral hydrate
r0886	1,1,2-Trichloroethylene	tetrachloroethene reductive dehalogenase	Ethylene
R05256	1,1-Dichloro-2-(dihydroxy-4'-chlorophenyl)-2-(4'-chlorophenyl)ethylene	1,1-dichloro-2-(dihydroxy-4-chlorophenyl)-(4-chlorophenyl)ethylene 1,2-dioxygenase	6-Oxo-2-hydroxy-7-(4'-chlorophenyl)-3,8,8-trichloroocta-2E,4E,7E-trienoate
r0442	1,1-Dichloro-2-(dihydroxy-4'-chorophenyl)-2-(4'-chlorophenyl)ethylene	1,1-dichloro-2-(dihydroxy-4-chlorophenyl)-(4-chlorophenyl)ethylene 1,2-dioxygenase	6-Oxo-2-hydroxy-7-(4'-chlorophenyl)-3,8,8-trichloroocta-2Z,4Z,7-trienoate
R05384	1,1-Dichloro-2,2-bis(4'-chlorophenyl)ethane	Lysases; Carbon-halide lyases	1-Chloro-2,2-bis(4'-chlorophenyl)ethylene
r0513	1,1-Dichloro-2,2-bis(4'-chlorophenyl)ethane (DDD)	DDD dehydrochlorinase	1-Chloro-2,2-bis(4'-chlorophenyl)ethylene (DDMU)
R05497	1,1-Dichloro-2,2-bis(4-chlorophenyl)ethylene	DDE dehalogenase	1-Chloro-2,2-bis(4'-chlorophenyl)ethylene
r0441	1,1-Dichloro-2,2-bis(4'-chlorophenyl)ethylene (DDE)	No enzyme supplied	1,1-Dichloro-2-(dihydroxy-4'-chorophenyl)-2-(4'-chlorophenyl)ethylene
r0440	1,1-Dichloro-2,2-bis(4'-chlorophenyl)ethylene (DDE)	DDE dehalogenase	1-Chloro-2,2-bis(4'-chlorophenyl)ethylene (DDMU)
r1008	1,1-Dichloroethane	1,1-dichloroethane reductive dehalogenase	Chloroethane
R07089	1,1-Dichloroethylene 	unspecific monooxygenase	1,1-Dichloroethylene epoxide
R07088	1,1-Dichloroethylene 	unspecific monooxygenase	2,2-Dichloroacetaldehyde
R07090	1,1-Dichloroethylene 	unspecific monooxygenase	Chloroacetyl chloride
R07092	1,1-Dichloroethylene epoxide	glutathione transferase	2-(S-Glutathionyl)acetyl chloride
r0800	1,2,3,4-Tetrachlorobenzene	chlorobenzene dioxygenase	cis-Chlorobenzene dihydrodiol
r0702	1,2,3-Tribromopropane	haloalkane dehalogenase	2,3-Dibromo-1-propanol
R04297	1,2,3-Trihydroxybenzene 	pyrogallol hydroxytransferase	Phloroglucinol
r0232	1,2,4-Benzenetriol	hydroxyquinol 1,2-dioxygenase	Maleylacetate
r0798	1,2,4-Benzenetriol	1,2,4-benzenetriol dehydrogenase	2-Hydroxy-1,4-benzoquinone
r0533	1,2,4-Trichlorobenzene	Enzyme record not found	1,4-Dichlorobenzene
r0526	1,2,4-Trichlorobenzene	chlorobenzene dioxygenase	3,4,6-Trichloro-cis-1,2-dihydroxycyclohexa-3,5-diene
R07694	1,2-Anthracenediol	No Kegg enzyme supplied	1-Methoxy-2-hydroxyanthracene
R07702	1,2-Anthracenediol 	anthracene-1,2-diol 1,2-dioxygenase	3-(2-Carboxyvinyl)naphthalene-2-carboxylic acid
R07701	1,2-Anthracenediol 	anthracene-1,2-diol 1,2-dioxygenase	4-(3-Hydroxy-2-naphthyl)-2-oxobut-3-enoic acid
R06885	1,2-Bis(4-hydroxyphenyl)-2-propanol	1,2-bis(4-hydroxyphenyl)-2-proponol reductase	4,4'-Dihydroxy-alpha-methylstilbene
r0862	1,2-bis(4-Hydroxyphenyl)-2-propanol	1,2-bis(4-hydroxyphenyl)-2-proponol dehydratase	4,4'-Dihydroxy-alpha-methylstilbene
R07113	1,2-Dibromoethane	glutathione transferase	Glutathione episulfonium ion
R07112	1,2-Dibromoethane 	unspecific monooxygenase	2-Bromoacetaldehyde 
r0001	1,2-Dichloroethane	haloalkane dehalogenase	2-Chloroethanol
r1512	1,2-Dihydrodihydroxymetamitron	2,3-dihydro-2,3-dihydroxymetamitron dehydrogenase	1,2-Dihydroxymetamitron
